,ip,province,city,company
185,97.77.127.220,Texas,San Antonio,Starbucks
186,184.203.109.14,Arizona,Phoenix,Sprint Communications Inc.
187,99.203.155.223,Texas,Houston,Sprint Communications Inc.
188,173.149.206.146,Texas,Houston,Sprint Communications Inc.
189,70.121.173.47,Texas,San Antonio,Charter Communications Inc
190,184.226.106.149,Texas,Houston,Sprint Communications Inc.
191,131.194.184.154,Texas,San Antonio,Trinity University
192,166.251.112.88,Texas,San Antonio,Wireless Data Service Provider Corporation
193,107.77.80.85,Texas,San Antonio,AT&T Mobility LLC
194,166.137.125.28,Texas,Odessa,AT&T Mobility LLC
195,97.77.16.42,Texas,San Antonio,Charter Communications Inc
196,99.203.27.36,Texas,Houston,Sprint Communications Inc.
197,131.194.184.123,Texas,San Antonio,Trinity University
198,99.200.159.181,Texas,Fort Worth,Sprint Communications Inc.
199,71.78.62.179,Texas,San Antonio,Starbucks
200,174.207.3.185,Texas,Odessa,Verizon Wireless
201,173.173.100.232,Texas,San Antonio,Charter Communications Inc
202,68.241.59.80,Georgia,Atlanta,Sprint Communications Inc.
203,64.134.30.175,Texas,Austin,Wayport Inc.
204,63.97.8.66,Colorado,Brighton,Target Corporation
205,173.239.232.81,Texas,Plano,North American Cable Television and Internet LLC
206,71.137.145.92,Texas,San Antonio,AT&T Corp.
207,70.118.34.50,Texas,San Antonio,Texas Research & Technology Foundation
208,24.173.208.242,Texas,Plano,Pearl Owners Association
209,166.137.139.56,Arkansas,Fayetteville,AT&T Mobility LLC
210,45.22.96.223,Texas,San Antonio,AT&T Corp.
211,99.203.26.86,Texas,Houston,Sprint Communications Inc.
212,99.203.26.234,Texas,Houston,Sprint Communications Inc.
213,174.207.13.82,California,San Diego,Verizon Wireless
214,173.174.223.192,Texas,San Antonio,Charter Communications Inc
215,107.77.66.47,Texas,Sugar Land,AT&T Mobility LLC
216,107.167.109.95,California,San Mateo,Opera Software Americas LLC
217,172.58.100.127,Texas,Houston,T-Mobile USA Inc.
218,208.54.86.193,Texas,Dallas,T-Mobile USA Inc.
219,173.173.119.75,Texas,San Antonio,Charter Communications Inc
220,70.117.9.9,Texas,San Antonio,Charter Communications Inc
221,172.3.29.85,Texas,San Antonio,AT&T Corp.
222,172.58.100.195,Texas,Houston,T-Mobile USA Inc.
223,166.137.125.49,Texas,Odessa,AT&T Mobility LLC
224,172.56.7.193,Texas,Waxahachie,T-Mobile USA Inc.
225,70.120.93.125,Texas,San Antonio,Charter Communications Inc
226,172.58.102.235,Florida,Clearwater,T-Mobile USA Inc.
227,107.77.100.15,Texas,San Antonio,AT&T Mobility LLC
228,24.130.120.24,California,Berkeley,Comcast Cable Communications LLC
229,67.11.16.255,Texas,New Braunfels,Charter Communications Inc
230,107.204.52.24,Texas,San Antonio,AT&T Corp.
231,67.10.132.181,Texas,San Antonio,Charter Communications Inc
232,104.190.250.60,Texas,San Antonio,AT&T Corp.
233,172.127.183.32,Texas,San Antonio,AT&T Corp.
234,76.185.228.75,Texas,San Antonio,Charter Communications Inc
235,67.10.153.249,Texas,San Antonio,Charter Communications Inc
236,104.180.86.144,Texas,San Antonio,AT&T Corp.
237,107.77.105.97,Texas,Kingsville,AT&T Mobility LLC
238,108.178.64.170,Texas,Plano,Charter Communications Inc
239,64.148.247.227,Texas,San Antonio,AT&T Corp.
240,187.220.23.224,Ciudad de Mexico,Cuajimalpa,Uninet S.A. de C.V.
241,173.239.232.41,Texas,Plano,North American Cable Television and Internet LLC
242,24.155.130.61,Texas,San Antonio,Grande Communications San Marcos
243,166.137.126.119,Texas,Marshall,AT&T Mobility LLC
244,107.77.64.80,Texas,Victoria,AT&T Mobility LLC
245,8.33.232.5,New Mexico,Jal,Level 3 Communications Inc.
246,76.185.182.91,Texas,San Antonio,Charter Communications Inc
247,72.179.132.10,Texas,El Paso,Charter Communications Inc
248,107.77.80.52,Texas,San Antonio,AT&T Mobility LLC
249,108.220.101.224,Texas,San Antonio,AT&T Corp.
250,99.132.128.74,Texas,San Antonio,AT&T Corp.
251,104.190.255.78,Texas,San Antonio,AT&T Corp.
252,72.190.131.54,Texas,San Antonio,Charter Communications Inc
253,24.243.7.214,Texas,San Antonio,Charter Communications Inc
254,174.207.4.5,Texas,Austin,Verizon Wireless
255,173.174.198.2,Texas,San Antonio,Charter Communications Inc
256,68.206.249.115,Texas,San Antonio,Charter Communications Inc
257,99.158.247.126,Texas,San Antonio,AT&T Corp.
258,108.192.182.223,Texas,San Antonio,AT&T Corp.
259,70.125.151.73,Texas,San Antonio,Charter Communications Inc
260,70.158.100.177,Georgia,Atlanta,City of Atlanta Dept of AV - AEP LAN
261,70.114.7.210,Texas,New Braunfels,Charter Communications Inc
262,172.87.155.118,Texas,Austin,Charter Communications Inc
263,172.56.15.50,Texas,Houston,T-Mobile USA Inc.
264,196.52.39.2,Illinois,Chicago,LogicWeb Inc
265,76.185.157.10,Texas,San Antonio,Charter Communications Inc
266,196.52.39.32,Illinois,Chicago,LogicWeb Inc
267,24.155.24.134,Texas,San Antonio,Grande Communications San Antonio Hub
268,173.123.4.140,Texas,Houston,Sprint Communications Inc.
269,67.79.15.43,Texas,Universal City,Starbucks
270,173.127.49.144,Texas,Houston,Sprint Communications Inc.
271,50.84.229.194,Texas,San Antonio,Texas Department of Information Resources
272,107.77.100.85,Texas,San Antonio,AT&T Mobility LLC
273,64.134.159.142,Texas,Austin,Wayport Inc.
274,99.203.155.147,Texas,Houston,Sprint Communications Inc.
275,72.178.121.254,Texas,San Antonio,Charter Communications Inc
276,184.226.102.210,Texas,Houston,Sprint Communications Inc.
277,173.127.108.144,Texas,Houston,Sprint Communications Inc.
278,107.77.72.127,Texas,Beaumont,AT&T Mobility LLC
279,70.123.197.98,Texas,San Antonio,Charter Communications Inc
280,99.57.17.35,Texas,San Antonio,AT&T Corp.
281,173.149.180.43,Texas,Houston,Sprint Communications Inc.
282,173.123.41.129,Texas,Houston,Sprint Communications Inc.
283,173.174.192.127,Texas,San Antonio,Charter Communications Inc
284,69.166.89.120,Texas,San Antonio,Guadalupe Valley Telephone Cooperative Inc.
285,97.77.161.196,Texas,San Antonio,Starbucks
286,76.185.175.160,Texas,San Antonio,Charter Communications Inc
287,172.56.15.203,Texas,Houston,T-Mobile USA Inc.
288,172.58.109.13,New Mexico,Albuquerque,T-Mobile USA Inc.
289,173.127.79.63,Texas,Houston,Sprint Communications Inc.
290,107.77.80.46,Texas,San Antonio,AT&T Mobility LLC
291,209.64.120.2,Texas,Universal City,Global the Source Ltd
292,107.77.66.96,Texas,Sugar Land,AT&T Mobility LLC
293,166.137.143.91,Texas,DeSoto,AT&T Mobility LLC
294,70.123.224.242,Texas,Universal City,Charter Communications Inc
295,209.194.208.150,Texas,El Paso,City of El Paso
296,107.77.80.125,Texas,San Antonio,AT&T Mobility LLC
297,107.77.72.63,Texas,Beaumont,AT&T Mobility LLC
298,65.36.104.120,Texas,San Antonio,Grande Communications San Antonio Hub
299,136.62.15.120,Texas,Austin,Google Fiber Inc.
300,99.203.26.185,Texas,Houston,Sprint Communications Inc.
301,108.200.115.87,Texas,San Antonio,AT&T Internet Services
302,207.68.209.17,Nebraska,Burwell,Nebraska Central Telephone Company
303,107.77.100.129,Texas,San Antonio,AT&T Mobility LLC
304,67.11.48.25,Texas,San Antonio,Charter Communications Inc
305,107.77.105.36,Texas,Kingsville,AT&T Mobility LLC
306,66.25.154.61,Texas,New Braunfels,Charter Communications Inc
307,70.94.162.244,Texas,San Antonio,Charter Communications Inc
308,99.203.154.83,Texas,Houston,Sprint Communications Inc.
309,76.185.163.154,Texas,San Antonio,Charter Communications Inc
310,104.181.128.75,Texas,San Antonio,AT&T Corp.
311,108.200.129.219,Texas,San Antonio,AT&T Corp.
312,107.77.100.89,Texas,San Antonio,AT&T Mobility LLC
313,71.42.84.202,Texas,Plano,International Brangus Breeders Association
314,75.54.32.23,Texas,San Antonio,Alamo Community College District
315,108.87.103.243,Texas,San Antonio,AT&T Corp.
316,173.173.105.73,Texas,San Antonio,Charter Communications Inc
317,174.207.13.226,California,San Diego,Verizon Wireless
318,99.203.27.254,Texas,Houston,Sprint Communications Inc.
319,99.203.155.180,Texas,Houston,Sprint Communications Inc.
320,99.203.154.104,Texas,Houston,Sprint Communications Inc.
321,104.129.196.183,Illinois,Chicago,Zscaler Inc.
322,70.122.201.106,Texas,Irving,Charter Communications Inc
323,192.171.117.234,Texas,San Antonio,WP Engine
324,174.207.5.177,Oklahoma,Guymon,Verizon Wireless
325,107.77.80.32,Texas,San Antonio,AT&T Mobility LLC
326,24.243.3.200,Texas,San Antonio,Charter Communications Inc
327,189.146.56.56,Ciudad de Mexico,Mexico City,Gestion de Direccionamiento Uninet
328,24.243.39.1,Texas,Universal City,Charter Communications Inc
329,201.103.134.102,Mexico,Ciudad Nezahualcoyotl,Uninet S.A. de C.V.
330,80.137.93.59,Schleswig-Holstein,Wedel,Deutsche Telekom AG
331,64.250.227.83,Nevada,Las Vegas,Impact Companies
332,72.191.22.4,Texas,Spring Branch,Charter Communications Inc
333,70.121.181.181,Texas,San Antonio,Charter Communications Inc
334,12.28.69.2,Texas,Houston,CY HousTX Property L.P.
335,189.146.46.149,Ciudad de Mexico,Mexico City,Gestion de Direccionamiento Uninet
336,172.58.100.115,Texas,Houston,T-Mobile USA Inc.
337,198.202.210.220,Texas,San Antonio,UDP Inc.
338,23.228.172.124,Texas,Austin,Google Fiber Inc.
339,99.203.27.87,Texas,Houston,Sprint Communications Inc.
340,24.155.118.66,Texas,San Antonio,Grande Communications San Antonio Hub
341,107.77.72.64,Texas,Beaumont,AT&T Mobility LLC
342,104.12.206.124,Texas,Austin,AT&T Corp.
343,107.77.64.130,Texas,Victoria,AT&T Mobility LLC
344,172.58.102.178,Florida,Clearwater,T-Mobile USA Inc.
345,166.137.118.83,Louisiana,Lafayette,AT&T Mobility LLC
346,144.178.1.54,Texas,El Paso,Apple Inc.
347,107.77.72.97,Texas,Beaumont,AT&T Mobility LLC
348,196.52.39.29,Illinois,Chicago,LogicWeb Inc
349,196.52.39.11,Illinois,Chicago,LogicWeb Inc
350,99.203.26.200,Texas,Houston,Sprint Communications Inc.
351,206.77.155.25,Texas,Austin,University of Texas System
352,97.77.232.50,Texas,San Antonio,Charter Communications Inc
353,72.182.51.48,Texas,Austin,Charter Communications Inc
354,108.247.106.74,Texas,New Braunfels,AT&T Corp.
355,70.125.131.6,Texas,San Antonio,Charter Communications Inc
356,174.207.9.170,Texas,Weslaco,Verizon Wireless
357,107.77.100.88,Texas,San Antonio,AT&T Mobility LLC
358,99.203.154.82,Texas,Houston,Sprint Communications Inc.
359,172.58.99.163,Texas,Houston,T-Mobile USA Inc.
360,174.207.13.44,California,San Diego,Verizon Wireless
361,72.190.180.197,Texas,San Antonio,Charter Communications Inc
362,206.77.155.27,Texas,Austin,University of Texas System
363,66.162.83.130,Texas,San Antonio,TW Telecom Holdings Inc.
364,172.58.67.73,Texas,Mission,T-Mobile USA Inc.
365,66.68.73.119,Texas,Austin,Charter Communications Inc
366,23.105.149.2,New York,New York City,Nobis Technology Group LLC
367,24.28.154.168,Texas,Leon Valley,Charter Communications Inc
368,172.56.6.214,Oklahoma,Jay,T-Mobile USA Inc.
369,173.174.153.61,Texas,Universal City,Charter Communications Inc
370,99.181.55.111,Texas,University Park,AT&T Corp.
371,206.77.155.26,Texas,Austin,University of Texas System
372,65.220.10.3,Virginia,Alexandria,Accenture Ltd
373,104.156.210.199,New York,New York City,Micfo LLC.
374,99.203.26.93,Texas,Houston,Sprint Communications Inc.
375,107.77.64.50,Texas,Victoria,AT&T Mobility LLC
376,206.121.139.66,Louisiana,Natchitoches,AT&T ANCS R&D Lab
377,97.105.101.131,Texas,Universal City,Starbucks
378,66.90.173.207,Texas,Austin,Grande Communications Waco Hub
379,97.77.206.98,Texas,Plano,Hilton Home 2 Suites
380,67.11.199.195,Texas,San Antonio,Charter Communications Inc
381,196.52.39.23,Illinois,Chicago,LogicWeb Inc
382,172.58.100.162,Texas,Houston,T-Mobile USA Inc.
383,174.207.23.151,Texas,San Antonio,Verizon Wireless
384,72.48.1.25,Texas,San Antonio,Grande Communications San Antonio Hub
385,172.56.6.173,Oklahoma,Jay,T-Mobile USA Inc.
386,172.58.67.186,Texas,Mission,T-Mobile USA Inc.
387,172.58.100.107,Texas,Houston,T-Mobile USA Inc.
388,70.118.40.114,Texas,Austin,Flightpath Coffeehouse
389,72.181.125.198,Texas,San Antonio,Charter Communications Inc
390,107.77.105.28,Texas,Kingsville,AT&T Mobility LLC
391,104.156.210.198,New York,New York City,Micfo LLC.
392,165.84.230.4,Utah,Bluffdale,Micfo LLC.
393,172.58.103.50,Texas,Austin,T-Mobile USA Inc.
394,206.77.155.30,Texas,Austin,University of Texas System
395,174.207.0.177,Texas,Austin,Verizon Wireless
396,172.58.99.43,Texas,Houston,T-Mobile USA Inc.
397,73.166.32.184,Texas,Sugar Land,Comcast Cable Communications LLC
398,107.77.64.51,Texas,Victoria,AT&T Mobility LLC
399,172.56.15.6,Texas,Houston,T-Mobile USA Inc.
400,173.175.172.89,Texas,El Paso,Charter Communications Inc
401,99.203.154.93,Texas,Houston,Sprint Communications Inc.
402,107.77.100.84,Texas,San Antonio,AT&T Mobility LLC
403,70.114.38.157,Texas,San Antonio,Charter Communications Inc
404,104.184.220.38,Texas,Corpus Christi,AT&T Corp.
405,76.218.0.183,Texas,Dallas,AT&T Corp.
406,172.58.111.139,Texas,Austin,T-Mobile USA Inc.
407,70.130.120.208,Texas,San Antonio,AT&T Corp.
408,72.181.109.196,Texas,San Antonio,Charter Communications Inc
409,12.221.11.38,Texas,San Antonio,FBD Partnership
410,174.207.16.206,Texas,Seminole,Verizon Wireless
411,75.54.32.21,Texas,San Antonio,Alamo Community College District
412,108.213.189.26,Texas,San Antonio,AT&T Corp.
413,70.123.229.111,Texas,Universal City,Charter Communications Inc
414,97.105.102.61,Texas,San Antonio,Starbucks
415,72.48.11.18,Texas,Temple,Grande Communications San Antonio Hub
416,107.77.100.127,Texas,San Antonio,AT&T Mobility LLC
417,47.189.243.89,Texas,Irving,Frontier Communications Corporation
418,99.203.26.150,Texas,Houston,Sprint Communications Inc.
419,24.243.10.53,Texas,San Antonio,Charter Communications Inc
420,72.179.136.146,Texas,El Paso,Charter Communications Inc
421,174.255.138.88,Arkansas,El Dorado,Verizon Wireless
422,24.73.246.228,Texas,San Antonio,Starbucks
423,107.77.64.52,Texas,Victoria,AT&T Mobility LLC
424,173.174.190.61,Texas,San Antonio,Charter Communications Inc
425,107.77.64.21,Texas,Victoria,AT&T Mobility LLC
426,70.121.163.5,Texas,San Antonio,Charter Communications Inc
427,172.58.99.59,Texas,Houston,T-Mobile USA Inc.
428,50.84.103.219,Texas,Leon Valley,Starbucks
429,76.214.156.188,Texas,San Antonio,AT&T Corp.
430,172.56.15.15,Texas,Houston,T-Mobile USA Inc.
431,108.220.103.204,Texas,San Antonio,AT&T Corp.
432,172.58.67.211,Texas,Mission,T-Mobile USA Inc.
433,172.58.100.28,Texas,Houston,T-Mobile USA Inc.
434,107.77.66.78,Texas,Sugar Land,AT&T Mobility LLC
435,72.181.97.35,Texas,San Antonio,Charter Communications Inc
436,172.58.100.129,Texas,Houston,T-Mobile USA Inc.
437,208.54.86.138,Texas,Dallas,T-Mobile USA Inc.
438,148.87.23.18,California,Belmont,Oracle Corporation
439,97.77.238.3,Texas,Seguin,Starbucks
440,107.77.80.82,Texas,San Antonio,AT&T Mobility LLC
441,67.11.134.242,Texas,San Antonio,Charter Communications Inc
442,107.77.72.90,Texas,Beaumont,AT&T Mobility LLC
443,70.123.137.196,Texas,Fredericksburg,Charter Communications Inc
444,97.77.203.60,Texas,San Antonio,Starbucks
445,71.41.243.19,Texas,San Antonio,Starbucks
446,97.77.126.60,Texas,San Antonio,Starbucks
447,72.177.233.3,Texas,San Antonio,Charter Communications Inc
448,172.58.67.50,Texas,Mission,T-Mobile USA Inc.
449,174.255.135.219,Oklahoma,McAlester,Verizon Wireless
450,24.155.149.210,Texas,San Antonio,North San Antonio Chamber of Commerce
451,71.41.134.238,Texas,Plano,Charter Communications Inc
452,76.185.164.25,Texas,San Antonio,Charter Communications Inc
453,24.243.59.95,Texas,San Antonio,Charter Communications Inc
454,66.3.37.210,Texas,San Antonio,Califormula Inc
455,64.132.225.203,Texas,San Antonio,TW Telecom Holdings Inc.
456,66.25.88.97,Texas,San Antonio,Charter Communications Inc
457,172.58.67.135,Texas,Mission,T-Mobile USA Inc.
458,99.203.27.150,Texas,Houston,Sprint Communications Inc.
