,title,content,author,category
16,6 tech giants contributed to $100 bn 'tax gap' in 10 yrs: Study,"A study by a British organisation that certifies businesses for good tax conduct stated six of Silicon Valley's top tech giants avoided paying over $100 billion in taxes over the past decade. It analysed global tax payments made by Amazon, Facebook, Google, Apple, Netflix and Microsoft. The research found over a $100-billion difference between their provisions and actual taxes paid. ",Aishwarya,business
17,"Maruti Suzuki India to recall over 63,000 units of Ciaz, Ertiga, XL6","Maruti Suzuki India has announced a recall of more than 63,000 units of the petrol smart hybrid variants of its Ciaz, Ertiga and XL6 vehicles. The automaker said the affected vehicles, manufactured between January 1 and November 21, had a potential safety defect in the Motor Generator Unit. Maruti Suzuki added it will replace the relevant faulty parts for free.",Dharna,business
18,Genuine business decisions won't be questioned: PM Modi to bankers,"Prime Minister Narendra Modi on Friday said that the banking sector has emerged from crisis of the past and that ""banking situation is much better"". ""Now, there will be no questions about genuine business decisions"", he added. He said that his government showed courage in merging banks and recapitalising them to the tune of ₹2.5 lakh crore to strengthen them.",Sakshita Khosla,business
19,Gates Foundation CEO Sue Desmond-Hellmann to step down,"Sue Desmond-Hellmann, the CEO of Bill & Melinda Gates Foundation, is stepping down from the role after five years. The foundation's Global Policy & Advocacy President and Chief Strategy Officer, Mark Suzman, will occupy the position starting February 1, 2020. Desmond-Hellmann cited the growing needs of her family and toll of the travel required by the role as the reason.",Dharna,business
20,"India could launch its own cryptocurrency, says RBI Governor","RBI Governor Shaktikanta Das has said that the bank would consider the creation of India's own digital currency and has held discussions regarding the same. However, the central bank maintained its stance against the trading of private cryptocurrencies in the country. Das argued that the issuance of cryptocurrency is a sovereign function and cannot be handed to private companies.",Dharna,business
21,Canada's CPPIB to invest up to $600 mn through NIIF Master Fund,"Canada Pension Plan Investment Board (CPPIB) will invest up to $600 million through the National Investment and Infrastructure Fund (NIIF) Master Fund. CPPIB will also become a shareholder in NIIF's investment management firm. With CPPIB's investment, NIIF's Master Fund now has $2.1 billion in commitments including investment from AustralianSuper and Ontario Teachers' Pension Plan.",Anushka Dixit,business
22,"IL&FS reports ₹22,527 crore net loss for FY19","IL&FS has reported a loss of ₹22,527 crore for the year ended March 2019 compared to a net profit of ₹333 crore last year. The company has posted a revenue of ₹824 crore, against ₹1,734 crore in the previous year and its liabilities rose to ₹21,083 crore. IL&FS is currently undergoing a debt resolution process in the bankruptcy court.",Anushka Dixit,business
23,RBI raises peer-to-peer lending limit five-times to ₹50 lakh,"The Reserve Bank of India (RBI) has raised its lending limit to peer-to-peer (P2P) platforms five-folds to ₹50 lakh from current ₹10 lakh. However, the exposure of a single borrower is capped at ₹50,000 across all NBFC-P2P platforms. The decision was made after ""a review of the functioning of the lending platforms and lending limit was carried out by RBI.""",Anushka Dixit,business
24,RBI has good idea of vulnerabilities in NBFC sector: Shaktikanta Das,"RBI Governor Shaktikanta Das said central bank has ""a fairly good idea"" of where NBFC sectors' vulnerabilities lie and are closely monitoring it. ""We are, wherever required, making a deep dive into their books, their balance sheet and other numbers,"" Das said. The NBFC sector has reportedly been facing a funding crunch since 2018 after defaults at IL&FS Group subsidiaries.
",Anushka Dixit,business
25,"South African bowler celebrates wicket with magic trick, video goes viral","During a Mzansi Super League match against Durban Heat, Paarl Rocks' South African spinner Tabraiz Shamsi celebrated Wihan Lubbe's wicket by performing a magic trick on the field. The 29-year-old took out red handkerchief from his pocket and turned it into a stick. Shamsi had earlier said that he wanted to become a magician from the age of about 15-16.",Anmol Sharma,sports
26,Former England captain Bob Willis dies aged 70 due to cancer,"Former England captain Bob Willis has died at the age of 70 after battle with cancer. The former fast bowler played in 90 Tests and 64 ODIs for England after his 1971 debut and retired in 1984. Finishing his Test career with 325 wickets, Willis stands at fourth on the all-time list of England wicket-takers.",Anmol Sharma,sports
27,"Italian paper labels clash of black footballers as 'Black Friday', criticised","Italian newspaper 'Corriere dello Sport' has been criticised for a front page with headline 'Black Friday' in regards to ex-Manchester United teammates Romelu Lukaku and Chris Smalling facing each other. ""The media fuels racism every day,"" The Fare network, which works against discrimination in football, tweeted. ""We are and will always be against all forms of discrimination,"" Inter Milan tweeted.",Anmol Sharma,sports
28,Virat a good player but can't be put in same category as Sachin: Razzaq,"Former Pakistan all-rounder Abdul Razzaq has said that Virat Kohli is a good player for India but he cannot be placed in the same category as Sachin Tendulkar. ""There were world-class players from 1992 to 2007. Now there are no longer world-class players. There is no depth in bowling, batting or fielding. It is all basic now,"" he added.",Anmol Sharma,sports
29,"Irfan Pathan criticises Razzaq for calling Bumrah 'baby bowler', trolls Pakistan","All-rounder Irfan Pathan has criticised ex-Pakistan all-rounder Abdul Razzaq for calling Jasprit Bumrah a 'baby bowler'. Requesting fans not to pay any heed to such statements, Irfan recalled Javed Miandad's 2004 statement, wherein he said bowlers like Pathan could be found in every street of Pakistan. Pathan added Indians uprooted Pakistan’s stumps every time they met on the cricket field.",Anmol Sharma,sports
30,"Pose kam maar, batting karle thoda: Rohit trolls Jadhav over Instagram pics","Batsman Kedar Jadhav took to Instagram to share pictures of himself with a bat in his hand. ""Feels good to be back on the field and do what I like to do,"" Jadhav captioned the pictures. Trolling Jadhav for posing with the bat, Team India opener Rohit Sharma wrote, ""Pose kam maar, batting karle thoda.""",Anmol Sharma,sports
31,"Dhoni wasn't Dhoni when he started, it took him 15 years: Sourav Ganguly","Referring to wicketkeeper-batsman Rishabh Pant getting criticised and being compared to MS Dhoni, BCCI President Sourav Ganguly said that MS Dhoni also was not MS Dhoni when he started. ""It took him 15 years to be MS Dhoni. It will take Rishabh Pant also close to 15 years to be even close to what MS Dhoni is today,"" he added.",Anmol Sharma,sports
32,"If Rishabh Pant makes a mistake, stands can't shout Dhoni's name: Kohli","Ahead of first T20I against West Indies, India captain Virat Kohli said that the team ""certainly"" believes in wicketkeeper-batsman Rishabh Pant's ability. ""He can't be isolated to such an extent that he doesn’t do well,"" ""If he misses a chance or something, you know, people can't shout MS' (MS Dhoni) name in the stadium, it's not respectful,"" he added.",Anmol Sharma,sports
33,"3rd umpire, not on-field umpires, to call front foot no-balls in India-WI series","Front foot no-balls in the T20I and ODI series between India and West Indies will be called by third umpire and not on-field officials, the ICC announced. ""If a late no-ball call is communicated...on-field umpire will rescind a dismissal (if applicable) and call no-ball,"" ICC said. It added the benefit of doubt in close calls will lie with the bowler.",Anmol Sharma,sports
34,Who doesn't want to represent India in T20 World Cup: Ashwin,"Off-spinner Ravichandran Ashwin has said that he wants to represent India in limited-overs cricket and wants to play the 2020 T20 World Cup. ""Who does not want to represent India in the 2020 T20 World Cup. Yuvraj Singh came back for World T20 in 2014 and then in 2017 Champions Trophy. I am only 33,"" he added.",Anmol Sharma,sports
35,"Maxwell trains with Victoria, teammate hints return","Australia all-rounder Glenn Maxwell on Thursday was seen training with his stateside Victoria in Melbourne. ""I'm not sure if it is this week or Big Bash, but he's not far away I think,"" teammate Marcus Harris said on his comeback. In October, Maxwell had withdrawn from Australia's T20I squad mid-series against Sri Lanka to deal with mental health issues.",Ankur Taliyan,sports
36,Man Utd deserved to win: Jose Mourinho after Spurs defeat,"After Tottenham Hotspur lost to Manchester United 1-2 at Old Trafford late on Wednesday, Spurs manager Jose Mourinho said that his former club deserved to win. ""I think for the first 30 minutes they were the best team,"" he added. This was the Spurs' first defeat under Mourinho after having won three games in a row. ",Ankur Taliyan,sports
37,"Satwik-Chirag, Pramod Bhagat nominated for BWF Awards 2019",Indian men's doubles pair of Satwiksairaj Rankireddy and Chirag Shetty and para-shuttler Pramod Bhagat have been nominated for 'Most Improved Player of the Year' and 'Male Para Badminton Player of the Year' respectively by the Badminton World Federation (BWF). The awards will be presented on December 9 in Guangzhou during the opening ceremony of BWF World Tour Finals. ,Ankur Taliyan,sports
38,Need to protect West Indies youngsters from 'vultures': Pollard,"West Indies limited-overs captain Kieron Pollard has said that there's a need to protect young Windies cricketers from ""vultures"" who are out there to pull them down. ""They (young players) need experience and we need to back these guys,"" he added. Windies are set to play against India without some of their senior players including Carlos Brathwaite, Chris Gayle. 
",Ankur Taliyan,sports
39,Pujara to play first two games for Saurashtra in Ranji Trophy,"Cheteshwar Pujara has been named in the 16-member Saurashtra squad for its first two games in the Ranji Trophy, beginning from December 9. Saurashtra, who lost to Vidarbha in last year's Ranji Trophy final, are placed in the Elite Group B and will play their first match against Himachal Pradesh in Dharamshala. Left-arm pacer Jaydev Unadkat will lead Saurashtra.",Ankur Taliyan,sports
40,We can make him bat with a stump: WI coach on how to get Kohli out,"On being asked about his plans for India captain Virat Kohli, West Indies coach Phil Simmons jokingly said that they can maybe have two bowlers to bowl at Kohli at the same time. Another option is to ""make him bat with a stump,"" Phil added. ""We can make sure that the bowlers don't get too scared of him,"" he stated.",Ankur Taliyan,sports
41,Test series loss against Aus hurt pride of Pak cricket: Azhar Ali,"Pakistan Test captain Azhar Ali on Friday said the Test series loss against Australia has hurt the pride of Pakistan cricket. ""The two innings defeat is not acceptable and I will offer no excuses for this,"" he added. On the upcoming Test series at home against Sri Lanka, Ali said, ""We have to come up with a new game plan.""",Ankur Taliyan,sports
42,Only one spot left in Team's pace attack for T20 World Cup: Kohli,"India captain Virat Kohli has said that there's only one spot to be filled in the Team's pace attack for the ICC T20 World Cup set to be held in Australia next year. ""I think Bhuvi (Bhuvneshwar) and (Jasprit) Bumrah are experienced bowlers…(Mohammed) Shami is coming back,"" he added suggesting that the three have most likely sealed their places.",Ankur Taliyan,sports
43,Eden Hazard may miss El Clasico after ankle fracture,"Real Madrid forward Eden Hazard is likely to miss La Liga's El Clasico against Barcelona, to be held on December 19 at 12.30 am (IST), after being diagnosed with a fractured ankle. Hazard was injured during last week's 2-2 draw against Paris Saint-Germain in the Champions League group stage match. Today Madrid revealed that Hazard has ""an incomplete external microfracture"".
",Ankur Taliyan,sports
44,"India chasing well in T20s, need to be better batting 1st: Ganguly","Speaking about the Indian team's approach in T20Is, BCCI head Sourav Ganguly said, ""We are chasing very well in T20 cricket. We need to do the same when batting first."" ""We haven't played many T20 internationals and I am confident by the World Cup we will be absolutely ready,"" Ganguly added while speaking at a book launch.",Dishant Sharma,sports
45,Teen pacer Naseem named in Pakistan U-19 World Cup squad,Teen pacer Naseem Shah was on Friday named in Pakistan's under-19 World Cup squad after having made his senior Test debut in Australia. The head coach of the Pakistan junior team Ejaz Ahmed had requested the chief selector and national bowling coach Waqar Younis to release Naseem from the senior squad for the youth World Cup.,Dishant Sharma,sports
46,Current Pakistan team probably worst of the lot: Ian Chappell,"Former Australia captain Ian Chappell has said that the current Pakistan cricket team is ""probably the worst of the lot"". This comes after Pakistan failed to win a single match during their three-T20I and two-Test match series Down Under. Pakistan last won their Test in Australia in 1995 and since then have lost 14 straight Tests on Australian soil. ",Ankur Taliyan,sports
47,We're in difficult situation: Ljungberg after Arsenal's home loss,"After Arsenal's 1-2 home loss against Brighton on Thursday night, caretaker manager Freddie Ljungberg said ""We're in a difficult situation. We started the game flat with no energy."" He added, ""You cannot give away a whole half against any team in Premier League."" With the home loss, Arsenal's winless streak has been extended to nine games in all competitions. 
",Ankur Taliyan,sports
48,We will not focus on the rankings: Kohli on India's T20I rank,"Speaking about India's fifth rank in the T20I team rankings, Indian captain Virat Kohli said, ""[W]e have not played the strongest eleven together in T20Is so rankings cannot be considered. We have the mindset that we will not focus on the rankings."" ""We need to focus on batting first and defending low totals as well,"" Kohli added.",Dishant Sharma,sports
49,"Slot Rahul as opener, look beyond Dhawan: Kris Srikkanth","Former India captain and former chief selector Kris Srikkanth has said that India needs to replace opener Shikhar Dhawan with KL Rahul in T20Is. ""The need of the hour is instant firepower and that's one area where India are lacking,"" Srikkanth added. Dhawan has scored 272 runs in the 12 T20Is he played for India in 2019. ",Ankur Taliyan,sports
50,"OnePlus 7T, 7 Pro get special offers during anniversary sale on Amazon","OnePlus announced its sixth anniversary sale, starting today till December 17. Customers can avail discount of ₹2,000 up to ₹6,000 on the purchase of OnePlus 7 Pro and 7T. Additionally, there is an instant discount of ₹2,000, ₹1,500 and ₹3,000 on the purchase of 7 Pro, 7T and 7T Pro respectively using HDFC card.",Roshan Gupta,technology
51,Sundar Pichai rejected Google shares worth millions in 2018: Bloomberg,"Google's 47-year-old India-born CEO Sundar Pichai, recently named the CEO of Google-parent Alphabet as well, rejected a ""big new grant"" of restricted stock in 2018 because he felt he was already paid generously, Bloomberg reported. Pichai, who joined Google in 2004, was made its CEO in 2015. He reportedly hasn't received an equity award in over two years.",Kanishka Pandey,technology
52,US agency to preserve bullets used to assassinate JFK with 3D scans,The US National Archives will upload high-definition 3D images of the bullets used in the assassination of late 35th US President John F Kennedy to its online catalogue. A team was able to create 3D surface maps of the projectiles after imaging them using a microscope with multiple lenses at different focal lengths. Kennedy was assassinated in November 1963.,Kanishka Pandey,technology
53,Apple admits iPhone 11 Pro seeks location even when setting is off,"After a report surfaced online detailing the iPhone 11 Pro model's constant check for users' location, even when all settings are off, Apple admitted to the same. However, the iPhone maker said that it does so to legally use their ultra-wideband chips. ""International regulatory requirements"" force us to turn off UWB in certain places, Apple said.",Kanishka Pandey,technology
54,Apple may release an iPhone model with no charging port by 2021,"Apple may release a new ""completely wireless"" iPhone in 2021 which will lack a Lightning charging port, a report by analyst Ming-Chi Kuo said. Kuo further said the iPhone maker would only remove the port from the highest-end iPhone. Apple has relied on the Lightning port for all its phones since it was first introduced on iPhone 5 in 2013.",Kanishka Pandey,technology
55,Google Co-founders gain $2.3B after Sundar Pichai made Alphabet CEO,"Google Co-founders Sergey Brin and Larry Page added a combined $2.3 billion to their net worths after Google-parent Alphabet's stock rose about 2%, Bloomberg revealed. This came after Google's 47-year-old India-born CEO Sundar Pichai on Wednesday was also named Alphabet CEO. The two co-founders each own about 6% of the internet giant and still control Alphabet through special voting shares.",Kanishka Pandey,technology
56,Chip-based optical sensor detects cancer biomarker in urine,"The Netherlands' University of Twente researchers used a chip-based sensor with an integrated laser to detect very low levels of a cancer protein biomarker in a urine sample. ""Current methods to measure biomarker levels are expensive and sophisticated,"" the research team leader said. The device can also potentially be used to detect different types of gases or liquid mixtures.",Kanishka Pandey,technology
57,"Bengaluru man orders pizza through app, ends up losing ₹95,000 in online scam","A resident of Bengaluru's Koramangala lost ₹95,000 in online scam after ordering a pizza through an app. The man looked for the app's customer care number after not receiving the pizza for an hour. A fraudster posing as a customer care executive sent him a message for refund. The fraudsters accessed his bank account details and deducted ₹95,000.",Anmol Sharma,technology
58,Sundar Pichai's last name misspelt as 'Pinchai' on WSJ's front page,"American newspaper The Wall Street Journal misspelt the last name of Google's parent company Alphabet's newly-appointed CEO Sundar Pichai as 'Pinchai'. Twitter users reacted to the error with tweets like, ""If only WSJ had Googled his name"" and ""That would pinch the writer hard!"" The newspaper later issued a correction for the mistake on its website.",Pragya Swastik,technology
59,"YouTube launches Rewind 2019, follow-up to the most disliked video ever","YouTube launched 'Rewind 2019', the follow-up to its eight-minute 2018 version which became the most-disliked YouTube video ever in seven days of release. ""In 2018, we made something you didn't like. For Rewind 2019, let's see what you DID like,"" YouTube captioned its video. The 'Rewind 2018' currently has 17 million dislikes, a million more than shown in 'Rewind 2019'.",Kanishka Pandey,technology
60,Uber may offer courier services for retail business: CEO Khosrowshahi,Uber Technologies' CEO Dara Khosrowshahi said the company could extend its food delivery service to offer courier services for other retail businesses. Khosrowshahi said they could extend its delivery model to every local retailer in New York so that anything could be delivered in under 30 minutes. Uber in October had acquired a majority stake in online grocery service Cornershop. ,Aishwarya,technology
61,Qualcomm to develop AR glasses with Pokémon GO maker Niantic,"Qualcomm has announced it will create reference hardware, software and cloud components for augmented reality (AR) glasses in collaboration with Pokémon GO developer Niantic. The multi-year collaboration is to speed up the development and optimise it for Qualcomm's XR2 platform. The platform is a follow-up of its XR1 platform and supports 5G connectivity, eye tracking and voice-based interaction.",Aishwarya,technology
62,WhatsApp deactivates user accounts in Kashmir amid internet curbs,"WhatsApp is deactivating user accounts in Jammu & Kashmir amid the government's restrictions on internet services entering their fifth month, several users have complained. WhatsApp said that accounts typically expire after 120 days of inactivity, following which users are automatically removed from all group chats. Nearly 1.5 million accounts were deactivated in the region, reports claimed.",Dharna,technology
63,Parliamentary panel on women meets Facebook to discuss cyber crimes,The Parliamentary Standing Committee on Women Empowerment on Thursday sought cooperation from Facebook to strengthen online vigilance in view of rising crimes against women on social media. The social media giant showed a presentation on working of the sites. The Committee was also made aware of the current system via which women can report cyber harassment or cyber bullying.,Sakshita Khosla,technology
64,Google Maps develops feature to show brightly lit roads: Report,"Google is developing a Maps feature that shows brightly lit streets, aiming to make night travel safer, as per strings in the app's beta version found by XDA Developers. Named 'Lighting', it highlights streets that have good lighting with yellow colour, helping users avoid streets with poor or no lighting. The feature is expected to be piloted in India first.",Dharna,technology
65,Indian govt wouldn't want to be too far behind on 5G: Qualcomm,"Discussing India's readiness to launch 5G spectrum, Senior VP of Qualcomm Alex Katouzian said since 5G has a major impact on the economy, India wouldn't want to be left far behind the rest. He also talked about discussions with Indian government regarding impact of 5G on various markets. Katouzian said economic impact will make India accelerate its move to 5G.",Aishwarya,technology
66,6 tech giants contributed to $100 bn 'tax gap' in 10 yrs: Study,"A study by a British organisation that certifies businesses for good tax conduct stated six of Silicon Valley's top tech giants avoided paying over $100 billion in taxes over the past decade. It analysed global tax payments made by Amazon, Facebook, Google, Apple, Netflix and Microsoft. The research found over a $100-billion difference between their provisions and actual taxes paid. ",Aishwarya,technology
67,Fired Google employees to charge firm with unfair labour practices,"After Google fired four employees over violation of data security policies, the employees are planning to file labour charges against the tech giant. The employees argued that they weren't fired for violating the policies but for speaking against the company's practices. Google has been facing protests over issues including its work with the military and handling of sexual abuse complaints.",Anushka Dixit,technology
68,Personal data of 20 WhatsApp users accessed via Pegasus spyware: Govt,"IT Minister Ravi Shankar Prasad said that personal data of 20 WhatsApp users were accessed by the NSO Group in the Pegasus spyware attack out of the 121 users whose devices were targeted. Meanwhile, the government had announced in November it would conduct an audit of WhatsApp's security systems. The Pegasus spyware attack infected about 1,400 devices across 20 countries.

",Anushka Dixit,technology
69,Facebook sues Hong Kong-based firm 'ILikeAd' for alleged ad fraud,"Facebook has filed a lawsuit against Hong Kong-based 'ILikeAd' and two Chinese nationals for allegedly abusing its ad platform to run a malware scheme. Facebook alleged the firm used celebrity baits and ""cloaking"" for hiding ads' real destination, to lure users into downloading and installing malware. The malware then compromised victims' ad accounts and ran deceptive ads on their behalf.",Dharna,technology
70,Duolingo raises $30 million from Alphabet's CapitalG,"Language-learning app Duolingo raised $30 million in a Series F funding from Alphabet's CapitalG. Post the investment, Duolingo's valuation stands at $1.5 billion. At present, Duolingo's total funding comes to $138 million with investments from Ashton Kutcher and Tim Ferriss, among others. It is now the first Pittsburgh-based tech startup valued at more than $1 billion.",Aishwarya,technology
71,India 5th worst country for biometric data privacy: Report,"India is the fifth-worst country in terms of privacy of biometric data collected by the government, said a report by UK tech research firm Comparitech. The report scored each country out of 25, with 25 indicating most invasive use of biometrics. India scored 19, sharing its spot with Indonesia, Taiwan and the Philippines, while China scored the highest at 24.",Dharna,technology
72,Google launches private chat feature in its Google Photos app,"Google has launched a messaging feature in Google Photos which will allow users to send one-off photos and videos to an ongoing, private conversation in the app for a ""simpler experience"". ""You can like photos or comment in the conversation and you can save these photos or videos to your own gallery,"" said Janvi Shah, Product Manager for Google Photos.",Anushka Dixit,technology
73,"India may force FB, TikTok to offer user verification: Reports","India may soon force platforms like Facebook and TikTok to offer a user verification option, a potential step toward reining the spread of ""fake news"", Reuters reported. With the required mechanism in place, users will have a mark of verification similar to the blue check-mark on Twitter. However, the verification would be optional for users, the report added. ",Aishwarya,technology
74,US unfairly awarded $10 bn cloud contract to Microsoft: AWS CEO,"Amazon Web Services (AWS) CEO Andy Jassy criticised Pentagon's decision to award the Joint Enterprise Defense Infrastructure (JEDI) contract to Microsoft, saying it was ""unfairly awarded"". ""We are talking about the defence of the US, and we have a government that has unfairly awarded a contract,"" he said. The contract, valued at $10 billion, was awarded to Microsoft in October.",Anushka Dixit,technology
75,"Der aaye, durust aaye: Jaya Bachchan on killing of 4 Hyd gangrape accused","Commenting on the killing of the 4 accused in the 27-year-old Hyderabad veterinarian's gangrape and murder case, actress and Rajya Sabha MP Jaya Bachchan said, ""Der aaye, durust aaye."" Earlier, she had said, ""These types of people (the 4 accused) need to be brought out in public and lynched. This is my suggestion. I know it's a little harsh.""",Ankush Verma,entertainment
76,"Was in Goa, wanted to walk into ocean & never return: Pooja on feeling suicidal","Speaking about battling mental health issues, actress-producer Pooja Bhatt spoke about contemplating suicide once. ""I was coming back from Goa, from a rave...Everyone was feeling great and I was feeling damn low,"" she said. ""I called my father and said I'm feeling almost suicidal, I just want to walk into that ocean and never come back,"" Pooja added.",Daisy Mowke,entertainment
77,Singer R Kelly charged with bribing govt official to marry 15-yr-old in 1994,"American singer R Kelly was charged with bribing a government employee in order to get a fraudulent ID to marry a 15-year-old girl in 1994. The girl, named Jane Doe in documents, has been speculated to be singer Aaliyah. They got married when she was allegedly 15 and Kelly was 27, although the certificate then mentioned her age as 18.",Atul Mishra,entertainment
78,I've friends who're better than me: Hrithik on Akshay beating him at box-office,"Actor Hrithik Roshan has shared a report on Twitter about Akshay Kumar beating him at the box-office in 2019. ""How good would I be if I didn't have friends who were better than me,"" he wrote while adding a clapping emoji. The report stated that Akshay's 'Housefull 4' beat Hrithik's 'War' in terms of earnings in Mumbai.",Daisy Mowke,entertainment
79,Adult film star claims Censor Board members demanded bribe to pass film,"Malayalam adult film actress Shakeela has claimed that two Censor Board members asked her for bribe to pass her upcoming production venture 'Ladies Not Allowed', an adult comedy. ""Our film has been [rejected] by...Censor Board not once but twice so far,"" she said. Shakeela added, ""Before starting the movie, we made it clear that we're making an adult comedy.""",Daisy Mowke,entertainment
80,"Made paper bags in jail for 10p each, used money for sisters' Rakhi gift: Dutt","Sanjay Dutt revealed on a TV show that he used to get 10 paise for making one paper bag in jail, adding, ""I used to collect the money...[to] send a gift to my sisters on Rakhi."" ""It took me a lot of time to learn these skills...We had to work if we wanted to shorten our jail time,"" Dutt said.",Arshiya Chopra,entertainment
